id,title,release_date,revenue,genres
862,Toy Story,1995-10-30,373554033.0,"['Animation', 'Comedy', 'Family']"
8844,Jumanji,1995-12-15,262797249.0,"['Adventure', 'Fantasy', 'Family']"
15602,Grumpier Old Men,1995-12-22,0.0,"['Romance', 'Comedy']"
31357,Waiting to Exhale,1995-12-22,81452156.0,"['Comedy', 'Drama', 'Romance']"
11862,Father of the Bride Part II,1995-02-10,76578911.0,['Comedy']
949,Heat,1995-12-15,187436818.0,"['Action', 'Crime', 'Drama', 'Thriller']"
11860,Sabrina,1995-12-15,0.0,"['Comedy', 'Romance']"
45325,Tom and Huck,1995-12-22,0.0,"['Action', 'Adventure', 'Drama', 'Family']"
9091,Sudden Death,1995-12-22,64350171.0,"['Action', 'Adventure', 'Thriller']"
710,GoldenEye,1995-11-16,352194034.0,"['Adventure', 'Action', 'Thriller']"
9087,The American President,1995-11-17,107879496.0,"['Comedy', 'Drama', 'Romance']"
12110,Dracula: Dead and Loving It,1995-12-22,0.0,"['Comedy', 'Horror']"
21032,Balto,1995-12-22,11348324.0,"['Family', 'Animation', 'Adventure']"
10858,Nixon,1995-12-22,13681765.0,"['History', 'Drama']"
1408,Cutthroat Island,1995-12-22,10017322.0,"['Action', 'Adventure']"
524,Casino,1995-11-22,116112375.0,"['Drama', 'Crime']"
4584,Sense and Sensibility,1995-12-13,135000000.0,"['Drama', 'Romance']"
5,Four Rooms,1995-12-09,4300000.0,"['Crime', 'Comedy']"
9273,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,"['Crime', 'Comedy', 'Adventure']"
11517,Money Train,1995-11-21,35431113.0,"['Action', 'Comedy', 'Crime']"
8012,Get Shorty,1995-10-20,115101622.0,"['Comedy', 'Thriller', 'Crime']"
1710,Copycat,1995-10-27,0.0,"['Drama', 'Thriller']"
9691,Assassins,1995-10-06,30303072.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
12665,Powder,1995-10-27,0.0,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
451,Leaving Las Vegas,1995-10-27,49800000.0,"['Drama', 'Romance']"
16420,Othello,1995-12-15,0.0,['Drama']
9263,Now and Then,1995-10-20,27400000.0,"['Comedy', 'Drama', 'Family']"
17015,Persuasion,1995-09-27,0.0,"['Drama', 'Romance']"
902,The City of Lost Children,1995-05-16,1738611.0,"['Fantasy', 'Science Fiction', 'Adventure']"
37557,Shanghai Triad,1995-04-30,0.0,"['Drama', 'Crime']"
9909,Dangerous Minds,1995-08-11,180000000.0,"['Drama', 'Crime']"
63,Twelve Monkeys,1995-12-29,168840000.0,"['Science Fiction', 'Thriller', 'Mystery']"
78802,Wings of Courage,1996-09-18,0.0,"['Romance', 'Adventure']"
9598,Babe,1995-07-18,254134910.0,"['Fantasy', 'Drama', 'Comedy', 'Family']"
47018,Carrington,1995-11-08,0.0,"['History', 'Drama', 'Romance']"
687,Dead Man Walking,1995-12-29,39363635.0,['Drama']
139405,Across the Sea of Time,1995-10-20,0.0,"['Adventure', 'History', 'Drama', 'Family']"
33689,It Takes Two,1995-11-17,0.0,"['Comedy', 'Family', 'Romance']"
9603,Clueless,1995-07-19,0.0,"['Comedy', 'Drama', 'Romance']"
34615,"Cry, the Beloved Country",1995-12-15,676525.0,['Drama']
31174,Richard III,1995-12-29,0.0,"['Drama', 'War']"
11443,Dead Presidents,1995-10-06,0.0,"['Action', 'Crime', 'Drama', 'History']"
35196,Restoration,1995-12-29,0.0,"['Drama', 'Romance']"
9312,Mortal Kombat,1995-08-18,122195920.0,"['Action', 'Fantasy']"
577,To Die For,1995-05-20,21284514.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
11861,How To Make An American Quilt,1995-10-06,23574130.0,"['Drama', 'Romance']"
807,Se7en,1995-09-22,327311859.0,"['Crime', 'Mystery', 'Thriller']"
10530,Pocahontas,1995-06-14,346079773.0,"['Adventure', 'Animation', 'Drama', 'Family']"
8391,When Night Is Falling,1995-05-05,0.0,"['Drama', 'Romance']"
629,The Usual Suspects,1995-07-19,23341568.0,"['Drama', 'Crime', 'Thriller']"
117164,Guardian Angel,1994-11-22,0.0,"['Action', 'Thriller', 'Drama']"
11448,Mighty Aphrodite,1995-09-13,6700000.0,"['Comedy', 'Romance']"
49133,Lamerica,1994-01-01,0.0,"['Drama', 'Foreign']"
26441,The Big Green,1995-09-29,0.0,"['Action', 'Adventure', 'Comedy', 'Family']"
97406,Georgia,1995-05-19,0.0,['Drama']
124057,Kids of the Round Table,1997-07-08,0.0,[]
9089,Home for the Holidays,1995-11-02,17519169.0,"['Comedy', 'Drama', 'Romance']"
11010,The Postman,1994-09-22,0.0,"['Comedy', 'Drama', 'Romance']"
99040,The Confessional,1995-09-29,0.0,"['Thriller', 'Drama', 'Mystery']"
11359,The Indian in the Cupboard,1995-07-14,0.0,"['Adventure', 'Family', 'Fantasy']"
17182,Eye for an Eye,1996-01-12,0.0,"['Drama', 'Thriller']"
2054,Mr. Holland's Opus,1995-12-29,106269971.0,"['Music', 'Drama', 'Family']"
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,['Comedy']
19760,Two If by Sea,1996-01-12,0.0,"['Comedy', 'Romance']"
9536,Bio-Dome,1996-01-12,0.0,['Comedy']
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,2409225.0,"['Action', 'Science Fiction']"
40628,Two Bits,1995-10-22,0.0,"['Drama', 'Family']"
4482,French Twist,1995-02-08,0.0,"['Comedy', 'Romance']"
10634,Friday,1995-04-26,28215918.0,['Comedy']
755,From Dusk Till Dawn,1996-01-19,25836616.0,"['Horror', 'Action', 'Thriller', 'Crime']"
11859,Fair Game,1995-11-03,11534477.0,"['Action', 'Thriller', 'Romance']"
28387,Kicking and Screaming,1995-10-06,718490.0,"['Comedy', 'Drama', 'Romance']"
48750,Les Miserables,1995-03-22,0.0,"['Drama', 'History']"
20927,Bed of Roses,1996-01-26,19030691.0,"['Drama', 'Romance']"
36929,Big Bully,1996-01-26,2042530.0,"['Comedy', 'Family']"
9102,Screamers,1995-09-08,5781885.0,"['Horror', 'Science Fiction']"
124626,Nico Icon,1995-02-18,0.0,['Documentary']
27526,The Crossing Guard,1995-11-15,0.0,"['Drama', 'Thriller']"
9623,The Juror,1996-02-02,0.0,"['Drama', 'Thriller']"
46785,The White Balloon,1995-01-01,0.0,"['Family', 'Drama']"
400,Things to Do in Denver When You're Dead,1995-12-01,529766.0,"['Drama', 'Crime']"
880,Antonia's Line,1995-09-12,0.0,"['Drama', 'Comedy']"
146599,Once Upon a Time... When We Were Colored,1996-01-26,0.0,"['Romance', 'Drama']"
188588,Last Summer in the Hamptons,1995-11-22,0.0,[]
8447,Angels and Insects,1995-09-10,0.0,"['Drama', 'Romance']"
10534,White Squall,1996-02-02,10300000.0,"['Action', 'Drama']"
17414,Dunston Checks In,1996-01-12,0.0,"['Adventure', 'Comedy', 'Family']"
13997,Black Sheep,1996-02-01,32.0,['Comedy']
2086,Nick of Time,1995-11-22,8175346.0,"['Crime', 'Drama', 'Thriller']"
61548,The Journey of August King,1995-09-14,0.0,['Drama']
9095,Mary Reilly,1996-02-23,12379402.0,"['Drama', 'Horror', 'Thriller', 'Romance']"
12158,Vampire in Brooklyn,1995-10-26,19800000.0,"['Comedy', 'Horror', 'Romance']"
9283,Beautiful Girls,1996-02-09,0.0,"['Comedy', 'Drama', 'Romance']"
9208,Broken Arrow,1996-02-09,150270147.0,"['Action', 'Adventure', 'Drama', 'Thriller']"
40154,A Midwinter's Tale,1995-12-01,0.0,['Comedy']
406,La Haine,1995-05-31,0.0,['Drama']
45549,Shopping,1994-12-06,0.0,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']"
63076,Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,['Documentary']
11062,City Hall,1996-02-16,0.0,"['Drama', 'Thriller']"
13685,Bottle Rocket,1996-02-21,560069.0,"['Comedy', 'Crime', 'Drama']"
47475,Mr. Wrong,1996-02-16,0.0,"['Comedy', 'Romance']"
2045,Unforgettable,1996-02-23,0.0,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']"
9614,Happy Gilmore,1996-02-16,41205099.0,['Comedy']
688,The Bridges of Madison County,1995-05-28,182016617.0,"['Drama', 'Romance']"
11907,Nobody Loves Me,1994-11-07,0.0,"['Drama', 'Comedy', 'Family']"
10874,Muppet Treasure Island,1996-02-16,34327391.0,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']"
89333,Catwalk,1995-12-08,0.0,['Documentary']
96357,Headless Body in Topless Bar,1995-05-20,0.0,['Crime']
197,Braveheart,1995-05-24,210000000.0,"['Action', 'Drama', 'History', 'War']"
103,Taxi Driver,1976-02-07,28262574.0,"['Crime', 'Drama']"
33542,Rumble in the Bronx,1995-01-30,32392047.0,"['Crime', 'Action', 'Comedy', 'Thriller']"
43566,Before and After,1996-02-23,0.0,"['Drama', 'Thriller']"
71754,Margaret's Museum,1995-09-13,0.0,['Drama']
43612,Happiness Is in the Field,1995-01-31,0.0,['Comedy']
51352,Anne Frank Remembered,1995-06-08,1.0,"['Documentary', 'Drama', 'Foreign']"
16934,The Young Poisoner's Handbook,1995-01-20,0.0,"['Comedy', 'Crime', 'Drama']"
10324,If Lucy Fell,1996-03-08,0.0,"['Comedy', 'Romance']"
78406,Steal Big Steal Little,1995-09-29,6278139.0,"['Comedy', 'Drama']"
55731,Race the Sun,1996-03-22,0.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']"
32119,The Boys of St. Vincent,1992-12-06,0.0,['Drama']
11066,Boomerang,1992-06-30,70100000.0,"['Comedy', 'Romance']"
11104,Chungking Express,1994-07-14,0.0,"['Drama', 'Comedy', 'Romance']"
37975,The Star Maker,1995-09-21,0.0,"['Drama', 'Romance']"
2074,Flirting with Disaster,1996-03-22,14702438.0,"['Comedy', 'Romance']"
27793,The Neverending Story III: Escape from Fantasia,1994-10-26,0.0,['Fantasy']
44284,The Silences of the Palace,1994-09-30,0.0,['Drama']
290157,Jupiter's Wife,1995-01-01,0.0,[]
110972,Pie in the Sky,1996-02-09,0.0,"['Comedy', 'Romance']"
32622,Angela,1995-01-01,0.0,"['Comedy', 'Drama']"
73067,Frankie Starlight,1995-11-22,0.0,"['Drama', 'Romance', 'War']"
11863,Jade,1995-10-13,9851610.0,"['Action', 'Thriller', 'Mystery', 'Romance']"
55475,Nueba Yol,1995-08-16,0.0,"['Comedy', 'Drama', 'Romance']"
124636,Sonic Outlaws,1995-08-01,0.0,"['Music', 'Documentary']"
9101,Down Periscope,1996-03-01,0.0,['Comedy']
123360,From the Journals of Jean Seberg,1995-09-08,0.0,['Documentary']
5757,Man of the Year,1995-09-15,209935.0,['Comedy']
39428,The Neon Bible,1995-08-23,0.0,['Drama']
124639,Target,1995-08-01,0.0,[]
9302,Up Close & Personal,1996-03-01,0.0,"['Drama', 'Romance']"
11000,The Birdcage,1996-03-08,185260553.0,['Comedy']
249882,Virgin Mary,1995-10-12,0.0,['Drama']
16388,The Brothers McMullen,1995-08-09,0.0,"['Comedy', 'Drama', 'Romance']"
9737,Bad Boys,1995-04-07,141407024.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
30765,The Amazing Panda Adventure,1995-08-25,0.0,"['Action', 'Adventure', 'Drama', 'Family']"
10474,The Basketball Diaries,1995-04-21,0.0,"['Drama', 'Crime']"
22279,An Awfully Big Adventure,1995-07-21,851545.0,"['Romance', 'Drama', 'Comedy']"
30157,Amateur,1994-08-05,0.0,"['Crime', 'Comedy', 'Drama', 'Thriller']"
568,Apollo 13,1995-06-30,355237933.0,['Drama']
11780,Rob Roy,1995-04-13,31596911.0,['Adventure']
34996,The Addiction,1995-01-10,0.0,"['Drama', 'Horror']"
414,Batman Forever,1995-06-16,336529144.0,"['Action', 'Crime', 'Fantasy']"
649,Belle de Jour,1967-05-24,0.0,"['Drama', 'Romance']"
1873,Beyond Rangoon,1995-05-24,0.0,"['Drama', 'Thriller']"
5894,Blue in the Face,1995-09-15,1275000.0,['Comedy']
1775,Canadian Bacon,1995-06-08,178104.0,"['Action', 'Comedy']"
8839,Casper,1995-05-26,287928194.0,"['Fantasy', 'Comedy', 'Family']"
20649,Clockers,1995-09-15,13071518.0,"['Mystery', 'Crime', 'Drama']"
10329,Congo,1995-06-09,152022101.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
8963,Crimson Tide,1995-05-12,157387195.0,"['Action', 'Thriller', 'Drama']"
26564,Crumb,1994-09-10,3174695.0,['Documentary']
8068,Desperado,1995-08-25,25405445.0,"['Thriller', 'Action', 'Crime']"
8512,Devil in a Blue Dress,1995-09-15,16140822.0,"['Drama', 'Mystery', 'Thriller']"
1572,Die Hard: With a Vengeance,1995-05-19,366101666.0,"['Action', 'Thriller']"
13552,The Doom Generation,1995-10-27,0.0,"['Action', 'Comedy', 'Crime', 'Drama']"
259209,Feast of July,1995-10-12,0.0,"['Drama', 'Crime']"
6520,First Knight,1995-07-07,127600435.0,"['Action', 'Adventure', 'Drama', 'Romance']"
9073,Free Willy 2 - The Adventure Home,1995-07-19,0.0,['Adventure']
10428,Hackers,1995-09-14,7563728.0,"['Action', 'Crime', 'Thriller', 'Drama']"
17447,Jeffrey,1995-08-18,0.0,"['Comedy', 'Drama', 'Romance']"
9886,Johnny Mnemonic,1995-05-26,19075720.0,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']"
9482,Judge Dredd,1995-06-30,113493481.0,['Science Fiction']
19326,Jury Duty,1995-04-12,17014653.0,"['Comedy', 'Drama']"
9344,Kids,1995-07-28,7412216.0,"['Drama', 'Crime']"
9071,Living in Oblivion,1995-01-20,1148752.0,"['Drama', 'Comedy']"
8973,Lord of Illusions,1995-08-25,0.0,"['Mystery', 'Horror', 'Thriller']"
15730,Love & Human Remains,1993-05-20,0.0,"['Comedy', 'Drama']"
47608,Mad Love,1995-05-26,15453274.0,"['Drama', 'Family', 'Romance']"
2293,Mallrats,1995-10-20,2122561.0,"['Romance', 'Comedy']"
9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,66000000.0,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
68274,Moonlight and Valentino,1995-09-29,0.0,"['Comedy', 'Drama', 'Romance']"
48787,Mute Witness,1995-09-28,1.0,"['Thriller', 'Foreign']"
34574,Nadja,1994-09-13,0.0,"['Horror', 'Thriller']"
1642,The Net,1995-07-28,110627965.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']"
11472,Nine Months,1995-07-12,69660733.0,['Comedy']
36196,Party Girl,1995-06-09,472370.0,['Comedy']
11980,The Prophecy,1995-09-01,16.0,"['Fantasy', 'Horror', 'Thriller']"
58372,Reckless,1995-11-17,0.0,"['Fantasy', 'Comedy', 'Drama']"
32646,Safe,1995-06-23,0.0,['Drama']
10533,The Scarlet Letter,1995-10-13,10382407.0,"['Drama', 'History', 'Romance']"
56088,The Show,1995-08-25,0.0,['Documentary']
10802,Showgirls,1995-09-22,20350754.0,['Drama']
10149,Smoke,1995-06-09,8349430.0,"['Comedy', 'Drama']"
18402,Something to Talk About,1995-08-04,50892160.0,['Comedy']
9348,Species,1995-07-07,113374103.0,"['Science Fiction', 'Horror', 'Action']"
139408,The Stars Fell on Henrietta,1995-09-15,0.0,['Drama']
281,Strange Days,1995-10-13,7959291.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
